Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1035295,Ruben Pinho,0,0,15,1,25,41
2,527169,Andy Rooney,1,1,18,0,21,41
3,900935,Andy Chell,0,0,12,0,19,31
4,363804,Erik Sivertsen,0,0,10,0,17,27
5,712518,Steven De Greveleer,0,0,11,0,16,27
6,450627,Davide Favo,0,0,13,0,0,13
7,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
8,565878,Daniel Fritz4,0,0,0,0,0,0
9,668882,Costa Chatzikonstantinou,0,0,0,0,0,0
10,645127,Elwyn Sykes,0,0,0,0,0,0
11,562993,Kevin Smith21,0,0,0,0,0,0
12,98121,Jeffrey Kruger,0,0,0,0,0,0
