Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1012459,Kyle Oosthuizen,1,1,18,0,25,45
2,842243,Danny Genovski,0,0,12,1,21,34
3,293575,Mathew Addy,0,0,15,0,15,30
4,214278,Mark Baker7,0,0,11,0,17,28
5,395972,Nigel Stock,0,0,6,0,19,25
6,568604,Ryan J Blackwell,0,0,8,0,14,22
7,725757,Baz Meacham,0,0,13,0,8,21
8,435038,Jochen Siegert,0,0,2,0,16,18
9,888953,Wesley Lewin,0,0,10,0,6,16
10,435674,Aaron Hobson,0,0,4,0,10,14
11,532447,Paul N T Williams,0,0,1,0,13,14
12,648962,Paul Walsh2,0,0,9,0,4,13
13,869824,Samy Ariba,0,0,0,0,12,12
14,34483,Mike Riedner,0,0,5,0,2,7
15,548231,Mark Kent,0,0,7,0,0,7
16,375113,Mark Sykes,0,0,3,0,0,3
17,492984,Ian Manners,0,0,0,0,0,0
18,792182,Neil Martin4,0,0,0,0,0,0
19,950943,Harley Bicknell,0,0,0,0,0,0
20,795214,James Smaggasgale,0,0,0,0,0,0
21,562993,Kevin Smith21,0,0,0,0,0,0
22,98121,Jeffrey Kruger,0,0,0,0,0,0
