Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,807048,Benjamin Mccluskey,0,0,15,1,25,41
2,1134363,Dominik Pester,1,1,18,0,17,37
3,969021,Brandon Schmidt3,0,0,12,0,21,33
4,720188,Kyle Griffiths,0,0,13,0,14,27
5,880131,Jack Pittas,0,0,10,0,15,25
6,884532,Harry Hartley-Price,0,0,9,0,12,21
7,669636,Łukasz Sidor,0,0,0,0,19,19
8,417499,Jamie Dorey,0,0,5,0,13,18
9,1171274,Keiran Davidson,0,0,7,0,10,17
10,876012,Ben Altria,0,0,0,0,16,16
11,1095068,Adam Wilson-Weir,0,0,11,0,4,15
12,436196,Gareth Williams7,0,0,4,0,8,12
13,717473,Shaun F Schutte,0,0,6,0,6,12
14,98121,Jeffrey Kruger,0,0,8,0,1,9
15,813575,Craign Corish,0,0,3,0,2,5
16,684107,Stephan Wessels,0,0,2,0,0,2
17,23406,Wayne Douglas,0,0,0,0,0,0
18,158246,Gavan Gardener,0,0,0,0,0,0
19,342625,Jean McCluan,0,0,0,0,0,0
20,361745,Jake Pitt,0,0,0,0,0,0
21,856565,Harry Langford ,0,0,0,0,0,0
