Pos,ID,Name,Race 1-Qualifying,Race 1-Fastest Lap,Race 1-Race,Race 1-Laps Led,Race 1-Positions Gained,Race 2-Fastest Lap,Race 2-Race,Race 2-Laps Led,Race 2-Positions Gained,Race 3-Fastest Lap,Race 3-Race,Race 3-Laps Led,Race 3-Positions Gained,Total
1,69065,Wojciech Swirydowicz,5,5,32,5,0,5,50,0,3,5,16,0,2,128
2,78460,Adam Delmont,0,0,55,5,1,0,45,0,0,0,4,0,0,110
3,807048,Benjamin Mccluskey,0,0,26,0,0,0,36,0,3,0,40,0,3,108
4,703434,Andrew Pike2,0,0,40,0,2,0,55,5,2,0,2,0,0,106
5,458422,Lee Horne,0,0,28,0,3,0,32,0,1,0,34,0,1,99
6,158246,Gavan Gardener,0,0,45,0,2,0,30,0,0,0,11,0,0,88
7,245397,Adam McNally,0,0,36,0,3,0,0,0,0,0,9,0,2,50
8,417499,Jamie Dorey,0,0,7,0,0,0,18,0,1,0,18,0,0,44
9,238543,Loris Pascucci,0,0,0,0,0,0,0,0,2,0,12,0,3,17
10,493157,Patrick Falconer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,714631,Reece Watt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,380577,Jonathan Robberechts,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,836127,Joseph Doble,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,23406,Wayne Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,834265,Isaac Doble,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,511499,Mikey Doble,0,0,0,0,0,0,0,0,0,0,0,0,0,0
