Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1110456,Mateusz Smolny,0,0,18,1,25,44
2,181524,Alain McKane,0,1,15,0,19,35
3,1069108,Jason Raaff,1,0,18,0,14,33
4,286267,Phil McDougall,0,0,7,0,25,32
5,384854,Andy D White,0,0,12,1,15,28
6,293575,Mathew Addy,0,0,10,0,13,23
7,581527,Stephen Fry,0,0,11,0,12,23
8,395972,Nigel Stock,0,0,6,0,17,23
9,888953,Wesley Lewin,0,0,1,0,21,22
10,1117180,Wojciech Kurp,0,0,4,0,16,20
11,1016431,brandon vincent-squibb,0,0,8,0,10,18
12,1117870,George Stone6,0,0,13,0,2,15
13,568604,Ryan Blackie,0,0,2,0,8,10
14,875926,Jopie Seimons,0,0,9,0,1,10
15,214278,Mark Baker7,0,0,3,0,4,7
16,532447,Paul N T Williams,0,0,0,0,6,6
17,98121,Jeffrey Kruger,0,0,0,0,0,0
18,968157,Tim Reid,0,0,0,0,0,0
19,34483,Mike Riedner,0,0,0,0,0,0
20,846950,Matthew Cheverton,0,0,0,0,0,0
