Pos,ID,Name,Race 1-Qualifying,Race 1-Fastest Lap,Race 1-Race,Race 1-Laps Led,Race 1-Positions Gained,Race 2-Fastest Lap,Race 2-Race,Race 2-Laps Led,Race 2-Positions Gained,Race 3-Fastest Lap,Race 3-Race,Race 3-Laps Led,Race 3-Positions Gained,Total
1,78460,Adam Delmont,0,0,50,0,0,0,45,5,0,0,30,0,4,134
2,69065,Wojciech Swirydowicz,0,0,34,0,0,0,55,5,3,5,24,0,3,129
3,511499,Mikey Doble,0,0,26,0,1,5,50,0,6,0,28,0,4,120
4,834265,Isaac Doble,0,0,40,0,1,0,40,0,0,0,26,0,1,108
5,807048,Benjamin Mccluskey,0,0,36,0,1,0,36,0,0,0,32,0,3,108
6,158246,Gavan Gardener,0,0,28,0,0,0,32,0,1,0,40,0,4,105
7,245397,Adam McNally,0,0,16,0,0,0,18,0,0,0,55,5,0,94
8,493157,Patrick Falconer,0,0,14,0,1,0,24,0,3,0,50,0,1,93
9,458422,Lee Horne,0,0,15,0,1,0,30,0,5,0,34,0,2,87
10,238543,Loris Pascucci,0,0,32,0,2,0,26,0,0,0,16,0,0,76
11,703434,Andrew Pike2,0,0,24,0,2,0,28,0,1,0,9,0,0,64
12,714631,Reece Watt,0,5,30,0,0,0,6,0,0,0,18,0,3,62
13,380577,Jonathan Robberechts,0,0,22,0,0,0,22,0,0,0,4,0,0,48
14,417499,Jamie Dorey,0,0,13,0,0,0,0,0,0,0,15,0,2,30
15,836127,Joseph Doble,0,0,11,0,0,0,0,0,0,0,5,0,1,17
16,23406,Wayne Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0
