Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1095068,Adam Wilson-Weir,1,1,18,1,21,42
2,996524,Gabriel Papaconstantinou,0,0,10,0,25,35
3,1090079,Stijn Weytens,0,0,15,0,15,30
4,375113,Mark Sykes,0,0,12,0,17,29
5,1077088,Robert Savage,0,0,13,0,14,27
6,1045145,Michael Evangeli,0,0,9,0,16,25
7,1115893,Mat Gatter,0,0,11,0,13,24
8,541161,Jonathan Berry,0,0,0,0,19,19
9,820470,Gabriel Yilmaz,0,0,8,0,0,8
10,450627,Davide Favo,0,0,0,0,0,0
11,1117544,Charlie Jopson-Wood,0,0,0,0,0,0
12,712518,Steven De Greveleer,0,0,0,0,0,0
13,869824,Samy Ariba,0,0,0,0,0,0
14,900935,Andy Chell,0,0,0,0,0,0
15,888953,Wesley Lewin,0,0,0,0,0,0
16,527169,Andy Rooney,0,0,0,0,0,0
17,645127,Elwyn Sykes,0,0,0,0,0,0
18,636532,Simon Hunt,0,0,0,0,0,0
19,724528,Danny Switzer,0,0,0,0,0,0
