Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,846950,Matthew Cheverton,0,0,13,1,25,39
2,566232,Kevin Stringer3,0,0,18,0,19,37
3,395972,Nigel Stock,0,1,12,0,17,30
4,34483,Mike Riedner,0,0,10,0,16,26
5,361745,Jake Pitt,0,0,0,0,21,21
6,435038,Jochen Siegert,0,0,0,0,15,15
7,725757,Baz Meacham,1,0,0,0,14,15
8,452031,Ben Benneyworth2,0,0,15,0,0,15
9,375113,Mark Sykes,0,0,11,0,0,11
10,385849,Matt Emmens,0,0,0,0,0,0
11,286267,Phil McDougall,0,0,0,0,0,0
12,548231,Mark Kent,0,0,0,0,0,0
