Pos,ID,Name,Race 1-Qualifying,Race 1-Fastest Lap,Race 1-Race,Race 1-Laps Led,Race 1-Positions Gained,Race 2-Fastest Lap,Race 2-Race,Race 2-Laps Led,Race 2-Positions Gained,Race 3-Fastest Lap,Race 3-Race,Race 3-Laps Led,Race 3-Positions Gained,Total
1,846950,Matthew Cheverton,5,0,55,0,0,0,55,0,0,0,30,0,0,145
2,929713,Toby Prosser,0,0,50,0,6,0,50,0,0,0,34,0,0,140
3,795214,James Smaggasgale,0,0,36,0,23,0,36,0,0,0,45,0,0,140
4,861733,Alex Meredith,0,5,18,0,0,0,30,0,16,5,55,5,0,134
5,293575,Mathew Addy,0,0,40,0,20,0,34,0,0,0,36,0,0,130
6,181524,Alain McKane,0,0,14,0,0,5,32,0,22,0,50,0,0,123
7,637216,Russell Fowler,0,0,30,0,0,0,45,0,6,0,40,0,0,121
8,191917,Liam Silkstone,0,0,32,0,0,0,40,0,3,0,32,0,0,107
9,492984,Ian Manners,0,0,45,0,10,0,26,0,0,0,22,0,0,103
10,375113,Mark Sykes,0,0,16,0,7,0,14,0,8,0,28,0,20,93
11,361745,Jake Pitt,0,0,13,0,11,0,20,0,17,0,24,0,7,92
12,876012,Ben Altria,0,0,15,0,0,0,28,0,19,0,26,0,1,89
13,112892,Slawomir Jaworski,0,0,12,0,11,0,15,0,16,0,16,0,12,82
14,419128,Andy X Fox,0,0,34,0,5,0,16,0,0,0,18,0,8,81
15,449970,Sam Vanolst,0,0,22,0,4,0,0,0,0,0,20,0,20,66
16,573543,Nick Clibbens,0,0,20,0,7,0,24,0,11,0,0,0,0,62
17,297570,Piotr Dziegielewski,0,0,26,0,0,0,22,0,1,0,0,0,0,49
18,45118,Duncan Marais,0,0,0,0,0,0,18,0,20,0,0,0,0,38
19,525328,Sam J Smith,0,0,28,0,0,0,0,0,0,0,0,0,0,28
20,692544,Mikel Leese2,0,0,24,0,0,0,0,0,0,0,0,0,0,24
21,750468,Luke Jones11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,300195,Valentin Amblard,0,0,0,0,0,0,0,0,0,0,0,0,0,0
