Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,869824,Samy Ariba,0,0,11,0,25,36
2,1090079,Stijn Weytens,0,0,13,0,17,30
3,1185490,Oliver Forsström2,0,0,15,0,10,25
4,375113,Mark Sykes,0,0,9,0,16,25
5,425754,Kurt Vanhoenacker,0,0,3,0,21,24
6,712518,Steven De Greveleer,0,0,4,0,19,23
7,435038,Jochen Siegert,0,0,8,1,13,22
8,541161,Jonathan berry2,1,1,18,0,0,20
9,450627,Davide Favo,0,0,6,0,14,20
10,1221492,Maciej Kisiel,0,0,12,0,6,18
11,710321,Seany Clark,0,0,5,0,12,17
12,645127,Elwyn Sykes ,0,0,2,0,15,17
13,19519,Dirk Wagner,0,0,2,0,14,16
14,1115893,Mat Gatter,0,0,7,0,8,15
15,1077088,Robert Savage 3,0,0,10,0,0,10
16,1136269,Jarosław Patałuch,0,0,0,0,0,0
17,1221391,Fabian Koziołek,0,0,0,0,0,0
18,1227536,Joshua Downing3,0,0,0,0,0,0
19,1139680,Zara McGuinness,0,0,0,0,0,0
20,996524,Gabriel Papaconstantinou,0,0,0,0,0,0
