Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,807048,Benjamin Mccluskey,1,0,18,1,21,41
2,389317,Steven Bird2,0,1,15,0,19,35
3,684107,Stephan Wessels,0,0,2,0,25,27
4,640632,Mike Barber,0,0,9,0,17,26
5,342625,Jean McCluan,0,0,10,0,14,24
6,452031,Ben Benneyworth2,0,0,7,0,16,23
7,856565,Harry Langford,0,0,12,0,10,22
8,436196,Gareth Williams7,0,0,11,0,8,19
9,717473,Shaun F Schutte,0,0,3,0,15,18
10,417499,Jamie Dorey,0,0,5,0,12,17
11,846950,Matthew Cheverton,0,0,4,0,13,17
12,416545,Martin Hobson,0,0,13,0,4,17
13,876012,Ben Altria,0,0,8,0,0,8
14,181524,Alain McKane,0,0,1,0,6,7
15,361745,Jake Pitt,0,0,6,0,0,6
16,79312,Chris T Shorter,0,0,0,0,0,0
17,467859,Marcelo Félix,0,0,0,0,0,0
18,1007157,Edwin Simpson,0,0,0,0,0,0
19,158246,Gavan Gardener,0,0,0,0,0,0
