Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1095068,Adam Wilson-Weir,1,0,18,1,21,41
2,541161,Jonathan Berry,0,1,5,0,25,31
3,996524,Gabriel Papaconstantinou,0,0,15,0,15,30
4,888953,Wesley Lewin,0,0,12,0,17,29
5,1045145,Michael Evangeli,0,0,11,0,14,25
6,1077088,Robert Savage,0,0,13,0,10,23
7,527169,Andy Rooney,0,0,10,0,13,23
8,375113,Mark Sykes,0,0,7,0,16,23
9,1090079,Stijn Weytens,0,0,2,0,19,21
10,869824,Samy Ariba,0,0,6,0,12,18
11,820470,Gabriel Yilmaz,0,0,9,0,8,17
12,636532,Simon Hunt,0,0,8,0,6,14
13,1115893,Mat Gatter,0,0,4,0,0,4
14,450627,Davide Favo,0,0,3,0,0,3
15,208620,Martin Brinkworth,0,0,0,0,0,0
16,1117544,Charlie Jopson-Wood,0,0,0,0,0,0
17,712518,Steven De Greveleer,0,0,0,0,0,0
18,900935,Andy Chell,0,0,0,0,0,0
19,645127,Elwyn Sykes,0,0,0,0,0,0
20,724528,Danny Switzer,0,0,0,0,0,0
