Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1095068,Adam Wilson-Weir,1,1,18,1,21,42
2,724528,Danny Switzer,0,0,15,0,25,40
3,541161,Jonathan Berry,0,0,13,0,19,32
4,1077088,Robert Savage,0,0,12,0,16,28
5,900935,Andy Chell,0,0,10,0,15,25
6,1045145,Michael Evangeli,0,0,11,0,12,23
7,869824,Samy Ariba,0,0,9,0,14,23
8,645127,Elwyn Sykes,0,0,6,0,17,23
9,996524,Gabriel Papaconstantinou,0,0,7,0,13,20
10,636532,Simon Hunt,0,0,5,0,10,15
11,712518,Steven De Greveleer,0,0,3,0,6,9
12,888953,Wesley Lewin,0,0,0,0,8,8
13,1090079,Stijn Weytens,0,0,8,0,0,8
14,820470,Gabriel Yilmaz,0,0,4,0,0,4
15,1115893,Mat Gatter,0,0,0,0,0,0
16,450627,Davide Favo,0,0,0,0,0,0
17,208620,Martin Brinkworth,0,0,0,0,0,0
18,1117544,Charlie Jopson-Wood,0,0,0,0,0,0
19,527169,Andy Rooney,0,0,0,0,0,0
20,375113,Mark Sykes,0,0,0,0,0,0
