Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,684107,Stephan Wessels,1,1,18,0,17,37
2,807048,Benjamin Mccluskey,0,0,12,0,21,33
3,468794,Morgan Short,0,0,13,0,19,32
4,856565,Harry Langford,0,0,15,0,15,30
5,876012,Ben Altria,0,0,3,1,25,29
6,436196,Gareth Williams7,0,0,11,0,14,25
7,640632,Mike Barber,0,0,6,0,16,22
8,452031,Ben Benneyworth2,0,0,7,0,13,20
9,430559,Jesse Payne-Wilkins,0,0,10,0,10,20
10,417499,Jamie Dorey,0,0,5,0,12,17
11,880131,Jack Pittas,0,0,9,0,8,17
12,717473,Shaun F Schutte,0,0,4,0,6,10
13,158246,Gavan Gardener,0,0,8,0,0,8
14,416545,Martin Hobson,0,0,2,0,0,2
15,23406,Wayne Douglas,0,0,0,0,0,0
16,389317,Steven Bird2,0,0,0,0,0,0
17,1049767,Corey Price3,0,0,0,0,0,0
18,669636,Łukasz Sidor,0,0,0,0,0,0
19,1012459,Kyle Oosthuizen,0,0,0,0,0,0
20,361745,Jake Pitt,0,0,0,0,0,0
21,405916,Harry Gaylor,0,0,0,0,0,0
22,419128,Andy X Fox,0,0,0,0,0,0
