Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,807048,Benjamin Mccluskey,0,0,13,1,25,39
2,436196,Gareth Williams7,0,0,15,0,17,32
3,158246,Gavan Gardener,0,0,10,0,19,29
4,389317,Steven Bird2,0,0,12,0,12,24
5,640632,Mike Barber,0,0,9,0,15,24
6,1007157,Edwin Simpson,0,0,3,0,21,24
7,467859,Marcelo Félix,0,0,6,0,16,22
8,79312,Chris T Shorter,1,1,18,0,0,20
9,417499,Jamie Dorey,0,0,7,0,8,15
10,416545,Martin Hobson,0,0,11,0,4,15
11,452031,Ben Benneyworth2,0,0,0,0,14,14
12,717473,Shaun F Schutte,0,0,0,0,13,13
13,435674,Aaron Hobson,0,0,2,0,10,12
14,846950,Matthew Cheverton,0,0,4,0,6,10
15,361745,Jake Pitt,0,0,8,0,0,8
16,876012,Ben Altria,0,0,5,0,1,6
17,181524,Alain McKane,0,0,1,0,2,3
18,684107,Stephan Wessels,0,0,0,0,0,0
