Pos,ID,Name,Sprint-Sprint Qualifying,Sprint-Sprint Race Fastest Lap,Sprint-Sprint Race,Feature-Feature Race Fastest Lap,Feature-Feature Race,Total
1,1012459,Kyle Oosthuizen,1,1,18,0,19,39
2,214278,Mark Baker7,0,0,12,0,19,31
3,293575,Mathew Addy,0,0,15,0,16,31
4,98121,Jeffrey Kruger,0,0,13,0,17,30
5,395972,Nigel Stock,0,0,4,0,25,29
6,795214,James Smaggasgale,0,0,8,0,15,23
7,548231,Mark Kent,0,0,9,0,14,23
8,492984,Ian Manners,0,0,10,0,12,22
9,562993,Kevin Smith21,0,0,11,0,6,17
10,888953,Wesley Lewin,0,0,3,0,13,16
11,34483,Mike Riedner,0,0,6,0,10,16
12,648962,Paul Walsh2,0,0,5,0,8,13
13,435038,Jochen Siegert,0,0,7,0,4,11
14,725757,Baz Meacham,0,0,2,1,2,5
15,792182,Neil Martin4,0,0,0,0,0,0
16,532447,Paul N T Williams,0,0,0,0,0,0
17,950943,Harley Bicknell,0,0,0,0,0,0
18,375113,Mark Sykes,0,0,0,0,0,0
